year,age,race_ethn,var,pop,m,q,p,lx,d,L,t,e,c,s,se,c_mn,se_tot,c_upr,c_lwr
2012,5,AI/AN,2796,79917,0.03498629828447014,0.034384799852425756,0.9656152001475743,69869.94073181233,2402.4639277642127,68668.70876793022,821314.5713164713,11.754905796599887,0.3013005926818767,0.6986994073181233,0.002112857725332493,0.3011700060486087,0.0021351999736770417,0.3053549979970157,0.2969850141002017
2012,6,AI/AN,2484,78298,0.03172494827454086,0.031229570027659043,0.968770429972341,67467.47680404811,2106.980291441476,66413.98665832737,752645.862548541,11.15568416371222,0.3253252319595189,0.6746747680404811,0.0020402075353302836,0.3253714187704368,0.002061614454819001,0.32941218310188203,0.32133065443899156
2012,7,AI/AN,2316,77851,0.029749136170376746,0.029313116227265252,0.9706868837727347,65360.49651260664,1915.9198309458006,64402.53659713374,686231.8758902136,10.499183949097667,0.34639503487393364,0.6536049651260664,0.001976492731234729,0.3465666280477547,0.002015191172144502,0.3505164027451579,0.34261685335035147
2012,8,AI/AN,2029,75864,0.026745228303279554,0.026392294334566885,0.9736077056654331,63444.57668166084,1674.4479417143957,62607.352710803636,621829.3392930799,9.801142537575236,0.36555423318339164,0.6344457668166084,0.0019185555700817006,0.36575827505589026,0.0019584855319217096,0.3695969066984568,0.3619196434133237
2012,9,AI/AN,1825,74670,0.024440873175304675,0.024145800945986173,0.9758541990540138,61770.12873994644,1491.4892329626891,61024.3841234651,559221.9865822762,9.053275393622906,0.3822987126005356,0.6177012873994644,0.0018679204867788814,0.3825169315491217,0.0018974021212372412,0.3862358397067467,0.3787980233914967
2012,10,AI/AN,1602,74206,0.021588550791041154,0.021358006586051966,0.9786419934139481,60278.63950698375,1287.4315795884104,59634.92371718955,498197.60245881113,8.264911194637879,0.39721360493016244,0.6027863950698376,0.001822818050522189,0.39752338699644807,0.001856150604399603,0.4011614421810713,0.39388533181182483
2012,11,AI/AN,1477,74869,0.019727791208644433,0.01953509903118077,0.9804649009688192,58991.20792739534,1152.3990888306362,58415.00838298003,438562.67874162155,7.434373598204528,0.4100879207260466,0.5899120792739534,0.0017838862905939616,0.41037361081900703,0.0018138720639228707,0.41392880006429583,0.4068184215737182
2012,12,AI/AN,1416,76532,0.01850206449589714,0.018332470222682546,0.9816675297773174,57838.808838564706,1060.328240748422,57308.644718190495,380147.6703586416,6.572536295131543,0.42161191161435296,0.578388088385647,0.001749037895246843,0.42195842594447786,0.001779488304895013,0.4254462230220721,0.41847062886688363
2012,13,AI/AN,1445,74497,0.01939675423171403,0.019210444100266556,0.9807895558997335,56778.480597816284,1090.7398276224267,56233.11068400507,322839.0256404511,5.685939853291312,0.43221519402183717,0.5677848059781628,0.0017169737101138866,0.432521248305547,0.00174582577156543,0.43594306681781525,0.42909942979327875
2012,14,AI/AN,1478,74349,0.019879218281348775,0.01968357127636906,0.9803164287236309,55687.74077019386,1096.1336146700633,55139.673962858826,266605.91495644604,4.7875153717700005,0.4431225922980614,0.5568774077019386,0.0016839898826341165,0.44338390112250065,0.001716749493770029,0.44674873013028993,0.44001907211471136
2012,15,AI/AN,1421,73724,0.019274591720470944,0.019090609865049134,0.9809093901349508,54591.607155523794,1042.1870741121384,54070.513618467725,211466.24099358718,3.8736035081573927,0.4540839284447621,0.5459160715552379,0.0016508429477506037,0.4543166389646533,0.0016700219826542835,0.4575898820506557,0.4510433958786509
2012,16,AI/AN,1271,73706,0.01724418636203294,0.017096776363134992,0.982903223636865,53549.420081411656,915.5224595074615,53091.65885165792,157395.7273751194,2.9392611000423403,0.4645057991858834,0.5354942008141166,0.001619327349086629,0.4647761735529653,0.001640450766514499,0.46799145705533374,0.46156089005059686
2012,17,AI/AN,907,75202,0.01206084944549347,0.011988553376819927,0.9880114466231801,52633.897621904194,642.4844802312437,52312.65538178857,104304.06852346154,1.98168999895714,0.4736610237809581,0.5263389762190419,0.0015916420715405867,0.47389110395334433,0.001604886336904523,0.4770366811736772,0.47074552673301145
2012,18,AI/AN,17,76998,2.207849554533884e-4,2.2076058514540982e-4,0.9997792394148546,51991.41314167295,-0,51991.41314167295,51991.41314167295,1,0.4800858685832705,0.5199141314167295,0.0015722134262140745,0.48021657792550837,0.0015840085002998103,0.483321234586096,0.47711192126492075
