.imp,year,race_ethn,age,var,pop,m,q,p,lx,d,L,t,e,c,s,se,c_mn,se_tot,c_upr,c_lwr
1,2004,AI/AN,11,3360,545859,0.00615543574439553,0.006136549177318876,0.9938634508226811,88170.93865911197,541.0653010919923,87900.40600856597,689812.9296041101,7.823586094178683,0.11829061340888036,0.8817093865911196,4.8364645831432205e-4,0.11841342277351641,4.895090131145377e-4,0.11937286043922091,0.11745398510781191
1,2004,AI/AN,12,3349,555245,0.00603157164855154,0.006013436412264249,0.9939865635877357,87629.87335801998,526.9566712532251,87366.39502239336,601912.5235955442,6.868805129232296,0.12370126641980028,0.8762987335801997,4.806785380384402e-4,0.12383841024642887,4.8689263193373006e-4,0.12479271980501898,0.12288410068783877
1,2004,AI/AN,13,3346,560230,0.005972546989629259,0.005954764434430853,0.9940452355655691,87102.91668676675,518.6773504215525,86843.57801155598,514546.1285731507,5.907335232223331,0.12897083313233249,0.8710291668676675,4.777880082152059e-4,0.1291027604540405,4.839540970232083e-4,0.130051310484206,0.128154210423875
1,2004,AI/AN,14,3367,563842,0.005971531031742935,0.00595375451681666,0.9940462454831833,86584.2393363452,515.501306033897,86326.48868332825,427702.5505615948,4.939727528241498,0.13415760663654797,0.865842393363452,4.749428931766885e-4,0.13430296434218306,4.823383494059652e-4,0.13524834750701875,0.13335758117734736
1,2004,AI/AN,15,3208,574727,0.005581780567121433,0.005566245785841816,0.9944337542141581,86068.7380303113,479.07975035395066,85829.19815513433,341376.0618782666,3.966318894533371,0.13931261969688702,0.860687380303113,4.7211519978120775e-4,0.13947115233468468,4.812069427607024e-4,0.14041431794249565,0.13852798672687372
1,2004,AI/AN,16,2457,582714,0.004216476693540913,0.004207606057103224,0.9957923939428968,85589.65827995735,360.1275646041613,85409.59449765527,255546.8637231323,2.985721275895946,0.14410341720042652,0.8558965827995735,4.694872905399937e-4,0.14421759056804123,4.744634366938461e-4,0.14514753890396118,0.1432876422321213
1,2004,AI/AN,17,1419,588001,0.0024132612019367315,0.0024103527964933528,0.9975896472035066,85229.53071535319,214.52813681970292,85122.26664694335,170137.26922547707,1.9962244048215632,0.14770469284646814,0.8522953071535319,4.6751187297258456e-4,0.14780756389833957,4.719975254168055e-4,0.1487326790481565,0.14688244874852263
1,2004,AI/AN,18,63,588927,1.0697420902760444e-4,1.0696848759292888e-4,0.999893031512407,85015.00257853349,-0,85015.00257853349,85015.00257853349,1,0.14984997421466517,0.8501500257853348,4.663351159236122e-4,0.1499566433334362,4.706671734632898e-4,0.15087915099342425,0.14903413567344814
1,2012,AI/AN,0,12779,383814,0.03329477298899988,0.032749578104758155,0.9672504218952418,100000,3274.9578104758257,98362.52109476208,1697905.1208986836,16.979051208986835,0,1,0,0,0,0,0
1,2012,AI/AN,1,5705,383079,0.014892489538711336,0.014782416050516736,0.9852175839494832,96725.04218952417,1429.8298161493294,96010.1272814495,1599542.5998039215,16.537005966559924,0.032749578104758204,0.9672504218952418,6.424835059252116e-4,0.032903834876858794,6.500701252950447e-4,0.03417797232243708,0.03162969743128051
1,2012,AI/AN,2,5037,383832,0.013122928781341837,0.013037384447541807,0.9869626155524582,95295.21237337484,1242.4003197218262,94674.01221351392,1503532.472522472,15.777628645513715,0.04704787626625151,0.9529521237337485,6.329860474350304e-4,0.0472008479651113,6.399749563962421e-4,0.048455198879647936,0.045946497050574665
1,2012,AI/AN,3,4570,383820,0.011906622896149237,0.011836158557905234,0.9881638414420948,94052.81205365302,1113.223996283894,93496.20005551107,1408858.460308958,14.979440056563815,0.05947187946346977,0.9405281205365302,6.2473356498469e-4,0.05961991556717625,6.336871506786396e-4,0.06086194238250639,0.058377888751846116
1,2012,AI/AN,4,4204,386840,0.010867542136283735,0.010808809539725718,0.9891911904602743,92939.58805736912,1004.5663060126826,92437.30490436278,1315362.260253447,14.152873794119994,0.07060411942630873,0.9293958805736913,6.173391194530858e-4,0.07072086414953811,6.276502927484678e-4,0.0719510587233251,0.06949066957575112
1,2012,AI/AN,5,3923,389391,0.01007470640050746,0.010024210909601958,0.9899757890903981,91935.02175135644,921.5760480144381,91474.23372734923,1222924.9553490842,13.302057606040005,0.08064978248643562,0.9193502175135644,6.106664184894953e-4,0.0807510063549846,6.22405210453961e-4,0.08197092056747436,0.07953109214249483
1,2012,AI/AN,6,3663,391708,0.009351353559283956,0.009307833140002466,0.9906921668599975,91013.445703342,847.1379661033716,90589.87672029031,1131450.721621735,12.431687569655308,0.08986554296658,0.91013445703342,6.045449695151454e-4,0.08999332560918165,6.236454862028881e-4,0.09121567076213931,0.08877098045622399
1,2012,AI/AN,7,3371,392330,0.008592256518746974,0.008555500989174285,0.9914444990108258,90166.30773723863,771.4179350361374,89780.59876972056,1040860.8449014446,11.543789149431586,0.09833692262761362,0.9016630773723864,5.989179658132706e-4,0.09846627990268278,6.141673815629622e-4,0.09967004797054618,0.09726251183481938
1,2012,AI/AN,8,3048,391084,0.007793722064824948,0.007763468905371261,0.9922365310946287,89394.8898022025,694.0144472784887,89047.88257856325,951080.2461317241,10.639089641881203,0.10605110197797507,0.8939488980220249,5.93793922564321e-4,0.1061798090723725,6.073633913349214e-4,0.10737024131938894,0.10498937682535606
1,2012,AI/AN,9,2808,386306,0.007268849047128443,0.007242526630729154,0.9927574733692709,88700.875354924,642.4184519270202,88379.6661289605,862032.3635531608,9.718420028030842,0.11299124645075997,0.88700875354924,5.891840219102944e-4,0.11311578094753401,5.999629422587045e-4,0.11429170831436107,0.11193985358070695
1,2012,AI/AN,10,2447,380848,0.006425135487123472,0.006404560402961226,0.9935954395970388,88058.45690299699,563.9757062268036,87776.46904988358,773652.6974242004,8.785671752986053,0.11941543097003016,0.8805845690299698,5.84916840941209e-4,0.11953906572304782,5.91705764361053e-4,0.12069880902119548,0.11837932242490015
1,2012,AI/AN,11,2199,377575,0.00582400847513739,0.005807098180627425,0.9941929018193726,87494.48119677018,508.0890425726975,87240.43667548383,685876.2283743168,7.839079893871474,0.1250551880322982,0.8749448119677018,5.811707057026918e-4,0.12513622578468797,5.837780594440823e-4,0.12628043078119838,0.12399202078817757
1,2012,AI/AN,12,2024,376186,0.005380317183520918,0.005365882109661239,0.9946341178903387,86986.39215419749,466.7587254441896,86753.0127914754,598635.7916988329,6.881947588280864,0.1301360784580251,0.8698639215419749,5.777957903549718e-4,0.13024520899195366,5.823282766014043e-4,0.1313865724140924,0.1291038455698149
1,2012,AI/AN,13,2075,374784,0.005536522370218579,0.005521238140979162,0.9944787618590208,86519.6334287533,477.6955000303715,86280.78567873812,511882.7789073576,5.916377111431938,0.13480366571246705,0.865196334287533,5.746954062604685e-4,0.13493842418638297,5.828173744014702e-4,0.13608074624020985,0.13379610213255608
1,2012,AI/AN,14,1952,374539,0.005211740299408072,0.005198194479581375,0.9948018055204186,86041.93792872292,447.26272675357177,85818.30656534614,425601.9932286194,4.946448249238502,0.13958062071277078,0.8604193792872292,5.715223760639776e-4,0.1396774492561253,5.779568624057325e-4,0.14081024470644055,0.13854465380581005
1,2012,AI/AN,15,1774,374139,0.004741553272981432,0.004730338696517042,0.9952696613034829,85594.67520196935,404.8918043236772,85392.22929980751,339783.6866632733,3.9696825282825023,0.1440532479803065,0.8559467520196935,5.685514916037646e-4,0.14412398183018407,5.712877832475678e-4,0.1452437058853493,0.14300425777501885
1,2012,AI/AN,16,1479,373648,0.003958270885967541,0.003950452405595806,0.9960495475944042,85189.783397645675,336.538184755409,85021.51430526798,254391.45736346583,2.9861733087878264,0.1481021660235432,0.8518978339764568,5.658620504820689e-4,0.14816892311985022,5.673348897312628e-4,0.1492808995037235,0.14705694673597694
